部門CD,部署CD,上位部署CD,部署CDの名称,部署CDの略称,昨年の部署CD
,AN0000,,ＡＯ全社,ＡＯ全社,
AN0000,ANA000,AN0000,役員室,役員室,
AN0000,ANA100,AN0000,リスク統制室,リスク統制室,
AN0000,ANA200,AN0000,経営企画室,経営企画室,
AN1000,AN1000,AN0000,コーポレート本部,ＣＯ本部,
AN1000,AN1100,AN1000,経理部,経理部,
AN1000,AN1200,AN1000,総務部,総務部,
AN1000,AN1300,AN1000,人事部,人事部,
AN1000,AN1400,AN1000,リソース戦略推進部,リソース戦略,
AN1000,AN14N0,AN1000,リソース戦略推進部付,リソース戦略付,
AN1000,AN1500,AN1000,パートナー推進部,Ｐ推進部,
AN1000,AN1800,AN1000,ヘルスケア推進部,ＨＣ推進部,
AN5000,AN5000,AN0000,テクノロジー＆コンサルティング本部,ＴＣ本部,
AN5000,AN5100,AN5000,プラットフォーム技術１部,ＰＬＦ技術１部,
AN5000,AN5500,AN5000,クラウド基盤技術部,クラウド基盤部,
AN5000,AN5900,AN5000,エンタープライズ基盤技術部,エンタ基盤部,
AN5000,AN5940,AN5000,プラットフォーム技術２部,ＰＬＦ技術２部,
AN5000,AN5950,AN5000,ＩＴコンサルティング部,ＩＴコンサル部,
AN5000,AN5970,AN5000,サービス品質推進部,品質推進部,
AN5000,AN5980,AN5000,タレントマネジメント推進部,ＴＭ推進部,
AN5000,AN500U,AN5000,営業ユニット（ＴＣ),営業ユニットTC,
AN5000,AN50N0,AN500U,営業部（ＴＣ）,営業部TC,
AN5000,AN50M0,AN500U,事業管理部（ＴＣ）,事業管理TC,
AN6000,AN6000,AN0000,プロダクトサービス事業部,PＳ事業部,
AN6000,AN6100,AN6000,クライアントサポート１部,ＣＳ１部,
AN6000,AN6200,AN6000,クライアントサポート２部,ＣＳ２部,
AN6000,AN6600,AN6000,エンジニアリングサービス部,ＥＳ部,
AN6000,AN6700,AN6000,クライアントサポート３部,ＣＳ３部,
AN6000,AN6850,AN6000,プロダクトソリューション部,ＰＳ部,
AN6000,AN60N0,AN6000,営業部（ＰＳ）,営業部PS,
AN6000,AN60M0,AM6000,事業管理部（ＰＳ）,事業管理PS,
AN7000,AN7000,AN0000,ＩＣＴサービス事業部,ＩＣＴ事業部,
AN7000,AN7100,AN7000,ＩＣＴ５部,ＩＣＴ５部,
AN7000,AN7400,AN7000,ＩＣＴ４部,ＩＣＴ４部,
AN7000,AN7500,AN7000,ＩＣＴエリアサービス部,ＩＣＴＡＳ部,
AN7000,AN7600,AN7000,ＩＣＴ営業部,ＩＣＴ営業部,
AN7000,AN7620,AN7000,ＩＣＴ営業部（新規）,ＩＣＴ営業部新規,
AN7000,AN7700,AN7000,ＩＣＴ事業推進部,ＩＣＴ事推部,
AN7000,AN7800,AN7000,ＩＣＴ３部,ＩＣＴ３部,
AN7000,AN7920,AN7000,ＩＣＴ２部,ＩＣＴ２部,
AN7000,AN7930,AN7000,ＩＣＴ１部,ＩＣＴ１部,
AN8000,AN8000,AN0000,エンタープライズＩＴサービス事業部,ＥＩＳ事業部,
AN8000,AN8100,AN8000,ソリューション開発１部,Ｓ開発１部,
AN8000,AN8200,AN8000,ソリューションサービス部,Ｓサービス部,
AN8000,AN8400,AN8000,ＨＣＭサービス部,ＨＣＭ部,
AN8000,AN8700,AN8000,ソリューション開発２部,Ｓ開発２部,
AN8000,AN8800,AN8000,基幹アプリケーションサービス部,基幹アプリ部,
AN8000,AN8900,AN8000,プロダクト基盤技術部,プロダク基盤部,
AN8000,AN80N0,AN8000,営業部（ＥＩＳ）,営業部EIS,
AN8000,AN80M0,AN8000,事業管理部（ＥＩＳ）,事業管理EIS,
AN9000,AN9000,AN0000,ビジネスアウトソーシング本部,ＢＯ本部,
AN9000,AN9100,AN9000,ビジネスコンサルティング部,ＢＩＺコンサル,
AN9000,AN9200,AN9000,ＢＰＯ推進部,ＢＰＯ推進部,
AN9000,AN9300,AN9000,ビジネスアウトソーシング本部（営業）,ＢＯ本部営業,
AN9000,AN9400,AN9000,オペレーションセンター,ＯＰセンター,
AN9000,AN90N0,AN9000,営業部（ＢＯ）,営業部BO,
AN9000,AN90M0,AN9000,事業管理部（ＢＯ）,事業管理BO,
ANS000,ANS000,ANS000,営業本部,営業本部,
ANS000,ANS100,ANS000,ICT営業部,ICT営業部,
ANS000,ANS200,ANS000,営業部,営業部,
ANS000,ANS500,ANS000,事業管理部,事業管理部,
ANS000,ANS600,ANS000,ICT事業推進部,ICT事推部,
ANS000,ANS700,ANS000,ビジネスデベロップメント室,ＢＤ室,
ANJ000,ANJ000,AN0000,西日本ビジネス本部,西日本,
ANJ000,ANJ100,ANJ000,西日本ソリューション開発部,西Ｓ開発部,
ANJ000,ANJ200,ANJ000,西日本ＨＣＭサービス部,西ＨＣＭ部,
ANJ000,ANJ300,ANJ000,西日本エンジニアリングサービス部,西ＥＳ部,
ANJ000,ANJ0N0,ANJ000,営業部（西日本）,営業部西,
ANJ000,ANJ0M0,ANJ000,事業管理部（西日本）,事業管理西,
